Setting Name;Title;Enabled;Can Specify Security Groups;Tenant Setting Group;Enabled Security Groups;Excluded Security Groups;Delegate To Capacity;Delegate To Workspace;Delegate To Domain;Properties;Best Practice Recommendation Light;Best Practice Recommendation Light Default;Best Practice Recommendation Paranoid;Best Practice Recommendation Paranoid Default
AllowServicePrincipalsUseReadAdminAPIs;Service principals can access read-only admin APIs;FALSE;TRUE;Admin API settings;null;null;FALSE;;FALSE;null;;;FALSE;
AllowServicePrincipalsUseWriteAdminAPIs;Service principals can access admin APIs used for updates;FALSE;TRUE;Admin API settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
AdminApisIncludeDetailedMetadata;Enhance admin APIs responses with detailed metadata;TRUE;TRUE;Admin API settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AdminApisIncludeExpressions;Enhance admin APIs responses with DAX and mashup expressions;TRUE;TRUE;Admin API settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AllowAccessOverPrivateLinks;Tenant-level Private Link;FALSE;FALSE;Advanced networking;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
BlockAccessFromPublicNetworks;Block Public Internet Access;FALSE;FALSE;Advanced networking;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
WorkspaceBlockInboundAccess;Configure workspace-level inbound network rules;FALSE;FALSE;Advanced networking;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
WorkspaceBlockOutboundAccess;Configure workspace-level outbound network rules;FALSE;FALSE;Advanced networking;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
ConfigureWorkspaceLevelIPFirewallRules;Configure workspace-level IP firewall rules and trusted resource instances (preview);TRUE;FALSE;Advanced networking;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
UsageMetrics;Usage metrics for content creators;TRUE;TRUE;Audit and usage settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
UsageMetricsTrackUserLevelInfo;Per-user data in usage metrics for content creators;TRUE;TRUE;Audit and usage settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
AllowCapacityMetricsReportUserMask;Show user data in the Fabric Capacity Metrics app and reports;TRUE;FALSE;Audit and usage settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
LogAnalyticsAttachForWorkspaceAdmins;Azure Log Analytics connections for workspace administrators;FALSE;TRUE;Audit and usage settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
PlatformMonitoringTenantSetting;Workspace admins can turn on monitoring for their workspaces (preview);TRUE;TRUE;Audit and usage settings;null;null;TRUE;FALSE;FALSE;null;;;TRUE;
ASCollectQueryTextTelemetryTenantSwitch;Microsoft can store query text to aid in support investigations;TRUE;FALSE;Audit and usage settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AutomatedInsightsTenant;Receive notifications for top insights (preview);TRUE;TRUE;Insights settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AutomatedInsightsEntryPoints;Show entry points for insights (preview);TRUE;TRUE;Insights settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AllowUserDataProcessedByAiServicesOutOfGeo;Allow data processing outside geographic region for Azure AI services;FALSE;TRUE;Azure AI Service;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
AzureMapsInFabric;Users can use Azure Maps services;TRUE;TRUE;Azure Maps services;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AzureMapsInFabricCrossRegionDataProcessing;Data sent to Azure Maps can be processed outside your capacity's geographic region, compliance boundary or national cloud instance;FALSE;TRUE;Azure Maps services;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
AzureMapsWeatherServices;Users can use Azure Maps Weather Services (Preview);TRUE;FALSE;Azure Maps services;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
EnableAOAI;Users can use Copilot and other features powered by Azure OpenAI;TRUE;TRUE;Copilot and Azure OpenAI Service;null;null;TRUE;FALSE;FALSE;null;;;FALSE;Change Default
ImmersiveTenantAdminSwitch;Users can access a standalone, cross-item Power BI Copilot experience (preview);TRUE;TRUE;Copilot and Azure OpenAI Service;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AllowSendAOAIDataToOtherRegions;Data sent to Azure OpenAI can be processed outside your capacity's geographic region, compliance boundary, or national cloud instance;FALSE;TRUE;Copilot and Azure OpenAI Service;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
CopilotCapacitySetupPermissionSwitch;Capacities can be designated as Fabric Copilot capacities;TRUE;TRUE;Copilot and Azure OpenAI Service;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
AllowStoreAOAIDataInOtherRegions;Data sent to Azure OpenAI can be stored outside your capacity's geographic region, compliance boundary, or national cloud instance;FALSE;TRUE;Copilot and Azure OpenAI Service;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
PreppedForCopilotContentDiscovery;Only show approved items in the standalone Copilot in Power BI experience (preview);FALSE;FALSE;Copilot and Azure OpenAI Service;null;null;FALSE;TRUE;TRUE;null;;;TRUE;Change Default
CDSAManagement;Create and use Gen1 dataflows;TRUE;FALSE;Gen1 dataflow settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
TemplatePublish;Create template organizational apps;FALSE;TRUE;App settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
AppPush;Push apps to end users;TRUE;TRUE;App settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
PublishContentPack;Publish apps to the entire organization;TRUE;TRUE;App settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
CustomVisualsTenant;Allow visuals created using the Power BI SDK;TRUE;TRUE;Power BI visuals;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
CertifiedCustomVisualsTenant;Add and use certified visuals only (block uncertified);FALSE;FALSE;Power BI visuals;null;null;FALSE;FALSE;FALSE;null;TRUE;Change Default;TRUE;Change Default
AllowCVToExportDataToFileTenant;Allow downloads from custom visuals;FALSE;TRUE;Power BI visuals;null;null;FALSE;FALSE;FALSE;null;FALSE;;FALSE;
AllowCVAuthenticationTenant;AppSource Custom Visuals SSO;FALSE;TRUE;Power BI visuals;null;null;FALSE;FALSE;FALSE;null;FALSE;;FALSE;
AllowCVLocalStorageV2Tenant;Allow access to the browser's local storage;TRUE;TRUE;Power BI visuals;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
WebContentTilesTenant;Web content on dashboard tiles;FALSE;TRUE;Dashboard settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;
EnableReassignDataDomainSwitch;Allow tenant and domain admins to override workspace assignments (preview);TRUE;FALSE;Domain management settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
AdminDataExploreViewPermission;Users with view permission can launch Explore;TRUE;FALSE;Explore settings (preview);null;null;FALSE;FALSE;FALSE;null;;;;
DatamartTenant;Create Datamarts (preview);TRUE;TRUE;Datamart settings;null;null;FALSE;FALSE;FALSE;null;FALSE;Change Default;FALSE;Change Default
WebModelingTenantSwitch;Users can edit semantic models in the Power BI service;TRUE;TRUE;Semantic model settings;null;null;FALSE;FALSE;FALSE;null;;;;
BlockAutoDiscoverAndPackageRefresh;Block republish and disable package refresh;FALSE;FALSE;Semantic Model Security;null;null;FALSE;FALSE;FALSE;null;;;;
Embedding;Embed content in apps;TRUE;TRUE;Developer settings;null;null;FALSE;FALSE;FALSE;null;;;FALSE;Change Default
ServicePrincipalAccessGlobalAPIs;Service principals can create workspaces, connections, and deployment pipelines;TRUE;TRUE;Developer settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
ServicePrincipalAccessPermissionAPIs;Service principals can call Fabric public APIs;TRUE;TRUE;Developer settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
AllowServicePrincipalsCreateAndUseProfiles;Allow service principals to create and use profiles;FALSE;TRUE;Developer settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
BlockResourceKeyAuthentication;Block ResourceKey Authentication;FALSE;FALSE;Developer settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;Change Default
ConfigureFabricIdentityTenantLimit;Define maximum number of Fabric identities in a tenant;FALSE;FALSE;Developer settings;null;null;FALSE;FALSE;FALSE;"[{""name"":""FabricIdentityTenantLimit"",""value"":"""",""type"":""Integer""}]";;;TRUE;Change Default
DiscoverDatasetsSettingsPromoted;Make promoted content discoverable;TRUE;TRUE;Discovery settings;null;null;FALSE;FALSE;FALSE;null;;;TRUE;
